,Timestamp,Description,Terminal test score (full model),Terminal test score (RB),Terminal test score (TORRENT),Terminal test score (MABS)
5,"28-07-2024, 17.45.16","region_cla, elev_lowes, selected_a",7652.837191145013,7279.277778339705,7378.791835929783,6725.8367970918825
10,"28-07-2024, 21.12.26","sensitivit, region_cla, elev_lowes",7652.837191145013,7244.765887396903,7378.791835929783,6764.399248703648
4,"28-07-2024, 17.05.42","sensitivit, region_cla, selected_a",7652.837191145013,7322.416035522508,7378.791835929783,6817.42566731676
15,"29-07-2024, 01.06.47","gedi_num_days, elev_lowes, selected_a",7652.837191145013,7254.623937578917,7378.791835929783,6893.657873102517
6,"28-07-2024, 18.25.00","pft_class, region_cla, elev_lowes",7652.837191145013,7333.860115483377,7378.791835929783,6899.317600685029
11,"28-07-2024, 21.52.42","sensitivit, gedi_num_days, elev_lowes",7652.837191145013,7233.537259113369,7378.791835929783,6938.195632391847
13,"28-07-2024, 23.55.21","sensitivit, elev_lowes, selected_a",7652.837191145013,7305.443038812537,7378.791835929783,6947.0576169781
18,"29-07-2024, 02.55.58","region_cla, gedi_num_days, elev_lowes",7652.837191145013,7227.931281553081,7378.791835929783,6967.567920495084
17,"29-07-2024, 02.20.01","region_cla, gedi_num_days, selected_a",7652.837191145013,7292.331562697402,7378.791835929783,6985.420051115538
2,"28-07-2024, 15.38.19","pft_class, region_cla, selected_a",7652.837191145013,7218.394633781261,7378.791835929783,7056.323562721926
14,"29-07-2024, 00.30.07","pft_class, sensitivit, elev_lowes",7652.837191145013,7335.158233892498,7378.791835929783,7109.063474101453
0,"28-07-2024, 13.36.03","pft_class, sensitivit, selected_a",7652.837191145013,7279.955343604383,7378.791835929783,7121.761589720493
9,"28-07-2024, 20.33.35","sensitivit, gedi_num_days, selected_a",7652.837191145013,7276.06506764209,7378.791835929783,7134.679552260242
7,"28-07-2024, 19.08.01","pft_class, elev_lowes, selected_a",7652.837191145013,7260.125891242584,7378.791835929783,7137.1587234906965
3,"28-07-2024, 16.25.00","pft_class, gedi_num_days, elev_lowes",7652.837191145013,7225.4693707608485,7378.791835929783,7223.616133105937
19,"29-07-2024, 03.32.29","pft_class, gedi_num_days, selected_a",7652.837191145013,7237.177372729988,7378.791835929783,7301.999625542975
16,"29-07-2024, 01.41.30","sensitivit, region_cla, gedi_num_days",7652.837191145013,7299.746661011597,7378.791835929783,7402.080079567243
1,"28-07-2024, 14.42.31","pft_class, sensitivit, region_cla",7652.837191145013,7294.920738673582,7378.791835929783,7479.083292719757
12,"28-07-2024, 23.19.33","pft_class, sensitivit, gedi_num_days",7652.837191145013,7268.836931097864,7378.791835929783,7610.318746777707
8,"28-07-2024, 19.51.28","pft_class, region_cla, gedi_num_days",7652.837191145013,7128.431662112203,7378.791835929783,7730.070642941168
